feature,coefficient,feature_type
beat,-0.8842760470456545,word (tfidf)
beating,-0.41518407266552454,word (tfidf)
beautiful,-0.1378456580631019,word (tfidf)
beauty,-2.3149528721878636,word (tfidf)
bed,2.2486145207047774,word (tfidf)
bedroom,0.2891582444555113,word (tfidf)
bee,0.037401871110659624,word (tfidf)
beef,0.3763348855595136,word (tfidf)
beer,0.06412721635776863,word (tfidf)
begin,0.8127382895594933,word (tfidf)
beginning,0.8554448243172882,word (tfidf)
begins,2.145688491306738,word (tfidf)
behavior,0.1072127024633734,word (tfidf)
believe,1.7875044845632078,word (tfidf)
believes,0.5280591795525023,word (tfidf)
bell,-0.007447105428041632,word (tfidf)
beloved,0.5300094359603454,word (tfidf)
ben,0.026904609876570097,word (tfidf)
ben carson,-0.2615642055071055,word (tfidf)
benefit,0.2866483209864463,word (tfidf)
benefits,-0.40249013072702017,word (tfidf)
bernie,-1.4544612303038034,word (tfidf)
bernie sanders,0.11115052620517193,word (tfidf)
best,-1.808477220455586,word (tfidf)
betsy,-0.8978516818626474,word (tfidf)
betsy devos,-0.8978516818626474,word (tfidf)
better,0.28482653645679507,word (tfidf)
beyoncé,-1.6291183807291216,word (tfidf)
bible,0.2951187773087841,word (tfidf)
bid,-1.1363693286210466,word (tfidf)
biden,2.420278287733521,word (tfidf)
big,-0.26846317872294595,word (tfidf)
biggest,-1.2133936420244462,word (tfidf)
bike,-0.04331635417647507,word (tfidf)
bikini,-0.5888395674774434,word (tfidf)
billion,0.5216598189780608,word (tfidf)
billionaire,-0.34023361396774704,word (tfidf)
billions,0.5436329539788751,word (tfidf)
billy,-0.19377703365080007,word (tfidf)
bin,1.6227792382957167,word (tfidf)
bin laden,1.1180295049585933,word (tfidf)
bird,0.40303178449459953,word (tfidf)
birth,-0.5197514623066185,word (tfidf)
birthday,-0.42924076567215225,word (tfidf)
bit,0.8573073976247082,word (tfidf)
bizarre,-1.1004378972506808,word (tfidf)
black,-1.8056398464005254,word (tfidf)
black man,1.3551242356856266,word (tfidf)
blame,0.4694555307620461,word (tfidf)
blames,-0.9453261220760488,word (tfidf)
blast,-0.4077686974900054,word (tfidf)
blasts,-0.6788898239875717,word (tfidf)
block,-1.1780157666192188,word (tfidf)
blood,1.3035764783088306,word (tfidf)
blow,-0.43537637734291934,word (tfidf)
blows,1.2275301200944753,word (tfidf)
blue,-0.7315156388557084,word (tfidf)
board,1.2891032410351804,word (tfidf)
boat,-0.7332406507299015,word (tfidf)
bob,2.0191281575380344,word (tfidf)
bodies,-0.9013847490978663,word (tfidf)
body,0.3079798737850085,word (tfidf)
boehner,-0.8504074442343007,word (tfidf)
bold,-0.06678907602438972,word (tfidf)
bolton,0.9219546000793823,word (tfidf)
bomb,-0.8955008938055673,word (tfidf)
bombing,1.2355604712066603,word (tfidf)
bond,0.8893574578353802,word (tfidf)
book,-0.07819474519148675,word (tfidf)
books,-1.3430269876150212,word (tfidf)
boost,-0.669174621344119,word (tfidf)
border,0.4262259538520189,word (tfidf)
bored,1.8744594671741424,word (tfidf)
boring,1.1344512866045897,word (tfidf)
born,0.14156342435586206,word (tfidf)
boss,0.9959754150184755,word (tfidf)
boston,0.3601657359844283,word (tfidf)
bottle,1.6694400482039242,word (tfidf)
bowl,0.8124525395118334,word (tfidf)
box,1.547275109116376,word (tfidf)
box office,-2.1434751635467584,word (tfidf)
boy,-0.007771527434441378,word (tfidf)
boyfriend,1.8217100441650236,word (tfidf)
boys,0.5274087613981654,word (tfidf)
brain,-0.9672546670956668,word (tfidf)
brand,0.26697456498450345,word (tfidf)
brazil,-1.3802331224269646,word (tfidf)
break,-0.330198562600868,word (tfidf)
breakfast,-0.30925961966903376,word (tfidf)
breaking,1.8899804389841564,word (tfidf)
breaks,0.4883293626152335,word (tfidf)
breast,0.0030234559234605125,word (tfidf)
bride,0.8386823234353399,word (tfidf)
bridge,0.839038771892485,word (tfidf)
brief,0.5162191554370718,word (tfidf)
bring,-0.06987469995391582,word (tfidf)
bringing,-0.5959927589508344,word (tfidf)
brings,-0.13013739110098638,word (tfidf)
britain,-1.0766597351221487,word (tfidf)
british,0.4849088105087603,word (tfidf)
britney,-1.1752573055338003,word (tfidf)
britney spears,-0.4736740889564227,word (tfidf)
broadway,-1.2833897868554038,word (tfidf)
broke,-0.3533223932619387,word (tfidf)
broken,-1.1992770757734899,word (tfidf)
brooklyn,1.1549008871530906,word (tfidf)
brother,0.024725895923725857,word (tfidf)
brothers,-0.4776381036037951,word (tfidf)
brought,0.839169848265735,word (tfidf)
brown,0.21213174465276274,word (tfidf)
bruce,0.662016088326869,word (tfidf)
budget,0.2293058578881519,word (tfidf)
build,-0.11075544823267262,word (tfidf)
building,-0.047991378591590445,word (tfidf)
bunch,1.0478866119896615,word (tfidf)
burger,1.2904460702837302,word (tfidf)
burger king,0.967383756409555,word (tfidf)
burning,0.3587334513973336,word (tfidf)
burns,1.4616884164119621,word (tfidf)
bus,1.3760196436803518,word (tfidf)
bush,3.9163538937126385,word (tfidf)
business,-0.9772839692868753,word (tfidf)
businesses,0.29752689532721494,word (tfidf)
busy,1.6031728345511103,word (tfidf)
buy,-1.0234994306583178,word (tfidf)
buying,-0.2888899633071875,word (tfidf)
buys,1.4158795381724092,word (tfidf)
cabinet,0.9038551061986253,word (tfidf)
caitlyn,-0.5817442979184373,word (tfidf)
cake,-0.1627190413868778,word (tfidf)
california,-2.530670016361611,word (tfidf)
called,1.8868495431644128,word (tfidf)
calling,0.3182212115343146,word (tfidf)
calls,-0.7834706871163555,word (tfidf)
calm,-0.17443903239447023,word (tfidf)
came,0.11339176753204841,word (tfidf)
camera,0.03074952775290223,word (tfidf)
camp,-0.03615450681793156,word (tfidf)
campaign,0.7621516035249544,word (tfidf)
campus,0.41665556064162246,word (tfidf)
canada,-0.20924954708864674,word (tfidf)
cancer,-0.6255775583633367,word (tfidf)
candidate,1.0665993702585697,word (tfidf)
candidates,0.44984516332109403,word (tfidf)
candy,0.7660133960927368,word (tfidf)
capable,2.3055695472037474,word (tfidf)
capital,-0.7438663432800892,word (tfidf)
capitol,0.46253944073979675,word (tfidf)
captain,0.2212407292221909,word (tfidf)
capture,-0.6972310238738683,word (tfidf)
captures,-1.2098091786528857,word (tfidf)
car,0.10373689032748004,word (tfidf)
carbon,-0.5921651964057865,word (tfidf)
card,0.8812160923516869,word (tfidf)
cards,0.023704461033107006,word (tfidf)
care,-0.14480223186832844,word (tfidf)
career,1.4121665588351873,word (tfidf)
carolina,-0.15516830022277076,word (tfidf)
carpet,0.18528964062721257,word (tfidf)
carry,-1.4654601241124356,word (tfidf)
carrying,-0.8638737710816173,word (tfidf)
cars,-0.5893153252934339,word (tfidf)
carson,0.05464522341464446,word (tfidf)
carter,1.428509241866358,word (tfidf)
case,-0.13459846171961418,word (tfidf)
cases,-1.0286549703328902,word (tfidf)
cash,1.761408396829755,word (tfidf)
cashier,1.465877004430868,word (tfidf)
cast,-0.12806147183875227,word (tfidf)
cat,0.5843336467009855,word (tfidf)
catch,-1.3892624293701408,word (tfidf)
catches,-0.4861574835462811,word (tfidf)
catholic,1.0018362375773813,word (tfidf)
caught,-0.9372973205017496,word (tfidf)
caused,-0.15035178971076918,word (tfidf)
causes,0.4277711653891128,word (tfidf)
causing,-0.3092276177377614,word (tfidf)
cbs,0.4030477740029147,word (tfidf)
ceiling,-1.8131902090703946,word (tfidf)
celebrate,-0.9135644412611295,word (tfidf)
celebrates,1.0462231612433412,word (tfidf)
celebrating,-1.3587515547731661,word (tfidf)
celebrities,-0.4692221529336301,word (tfidf)
celebrity,-0.49387454027176947,word (tfidf)
cell,0.18509118724870655,word (tfidf)
census,0.27978389017298255,word (tfidf)
center,0.7465596044598607,word (tfidf)
central,-0.7294456374989162,word (tfidf)
century,-0.12704992298975934,word (tfidf)
ceo,1.148770591775202,word (tfidf)
ceremony,-0.030855086707574128,word (tfidf)
chain,0.5156662124819903,word (tfidf)
chair,0.7228176023432618,word (tfidf)
challenge,-0.9934388432896024,word (tfidf)
challenges,-0.42794150814540777,word (tfidf)
chance,-0.3199255622524347,word (tfidf)
change,-1.5137762061608067,word (tfidf)
changed,-0.6632566766159228,word (tfidf)
changes,0.16267994017890422,word (tfidf)
changing,-1.4866850837288161,word (tfidf)
channel,1.609233977012159,word (tfidf)
character,1.983042056681536,word (tfidf)
characters,1.179484866000097,word (tfidf)
charge,-0.408243562352617,word (tfidf)
charged,-2.1922448519659348,word (tfidf)
charges,-1.6237824905109979,word (tfidf)
charity,0.2079564703375638,word (tfidf)
charles,0.571678594806748,word (tfidf)
charlottesville,-1.448356012823768,word (tfidf)
cheap,0.2740169494698254,word (tfidf)
check,1.121409962348355,word (tfidf)
checks,0.420465550204609,word (tfidf)
cheese,0.1482945299708512,word (tfidf)
chemical,-0.35882731945968627,word (tfidf)
cheney,1.4268462863837579,word (tfidf)
chicago,0.007318114094585738,word (tfidf)
chicken,1.1369518098973699,word (tfidf)
chief,-1.0276451632405001,word (tfidf)
child,1.6896663473423061,word (tfidf)
childhood,-0.8116095645871397,word (tfidf)
children,0.3221683631915172,word (tfidf)
china,-1.3697497449812859,word (tfidf)
chinese,0.10457318835850261,word (tfidf)
choice,-0.3216940877671923,word (tfidf)
chris,-0.5511383352438795,word (tfidf)
chris christie,-0.7249738354673213,word (tfidf)
chrissy,-1.503347305275993,word (tfidf)
chrissy teigen,-1.39491199406571,word (tfidf)
christ,2.4559853196742365,word (tfidf)
christian,0.5134618161658658,word (tfidf)
christie,-0.5094341161608416,word (tfidf)
christmas,0.43988301621878934,word (tfidf)
chuck,1.787143262177027,word (tfidf)
church,1.6800841177967578,word (tfidf)
cia,-0.07382218546474878,word (tfidf)
circle,0.6466129208194362,word (tfidf)
cities,-1.4225899914984865,word (tfidf)
citizens,0.5526131055577782,word (tfidf)
city,0.34563751470388937,word (tfidf)
civil,0.8178621603036222,word (tfidf)
civil rights,-1.520532562437002,word (tfidf)
claim,0.5577031281790569,word (tfidf)
claims,1.3536345775359802,word (tfidf)
class,1.1663346997013078,word (tfidf)
classic,-0.3821811162201384,word (tfidf)
clean,-1.4179373531182207,word (tfidf)
cleaning,0.2872606603932105,word (tfidf)
clear,1.3031511784327199,word (tfidf)
clearly,4.120384139682421,word (tfidf)
cleveland,0.2165210786921393,word (tfidf)
climate,-2.356276395656868,word (tfidf)
climate change,-0.8003879727564996,word (tfidf)
clinton,2.5111813399313143,word (tfidf)
clinton campaign,-0.7297824245812443,word (tfidf)
clip,-0.8363368078642376,word (tfidf)
clock,1.5848681801781035,word (tfidf)
close,0.7118893465622809,word (tfidf)
closer,-0.47427074454402074,word (tfidf)
closet,-0.9648405798118987,word (tfidf)
clothes,0.11686468342578271,word (tfidf)
club,1.062646867237264,word (tfidf)
cnn,1.1736360311411829,word (tfidf)
coach,-0.010029003285125416,word (tfidf)
coast,0.796097683884914,word (tfidf)
code,0.511076194396485,word (tfidf)
coffee,0.672908629591236,word (tfidf)
cohen,1.4747003091205395,word (tfidf)
colbert,-1.7564725410424076,word (tfidf)
cold,-0.023944775211006037,word (tfidf)
colin,-1.566049383599155,word (tfidf)
collection,0.5071482194873747,word (tfidf)
college,-0.7966072836779395,word (tfidf)
colleges,-1.4975065855385834,word (tfidf)
color,-1.0835115708921585,word (tfidf)
colorado,0.4900164282300898,word (tfidf)
com,0.7734820942372328,word (tfidf)
come,1.386825825337051,word (tfidf)
comedian,0.1185687691599561,word (tfidf)
comedy,0.22166468604846867,word (tfidf)
comes,1.8168682755722856,word (tfidf)
comey,-0.40181798651637923,word (tfidf)
comfortable,-0.21601599508621422,word (tfidf)
comic,0.9801511483503467,word (tfidf)
coming,0.40456396496596897,word (tfidf)
comments,0.3764341930694256,word (tfidf)
commercial,1.2099658576945147,word (tfidf)
commercials,0.6716174551666416,word (tfidf)
committed,0.520758626809562,word (tfidf)
committee,0.9560385189180607,word (tfidf)
common,-1.2718751831534625,word (tfidf)
communities,-1.0811683465604585,word (tfidf)
community,0.1728218754257105,word (tfidf)
companies,-1.716044492699615,word (tfidf)
company,0.6131006144011489,word (tfidf)
compares,-1.1094011710141447,word (tfidf)
complete,1.074237226232895,word (tfidf)
completely,-0.24179481474230238,word (tfidf)
completes,1.953352555503657,word (tfidf)
computer,1.2734099278943207,word (tfidf)
concerned,2.145411470835482,word (tfidf)
concert,-0.8007586149245342,word (tfidf)
